Kelas;Soal;A;B;C;D;E;Jawaban
3;Contoh lingkungan buatan misalnya adalah...;kebun binatang;pesisir pantai;sungai;pegunungan;#;a
3;Sikap memelihara lingkungan sekitar harus kita ...;abaikan;biasakan;lupakan;hindari;#;b
3;Contoh faktor alami yang menyebabkan kerusakan alam misalnya ...;gempa bumi;penebangan hutan;penimbunan sampah;pembangunan;#;a
3;Reboisasi adalah ...;usaha untuk menanami kembali hutan yang gundul;usaha untuk menanami kembali halaman yang gundul;usaha untuk menanami kembali taman yang gundul;usaha untuk menebangi pohon;#;a
3;Manakah tindakan yang salah terhadap lingkungan?;membuat terasiring;membuang sampah ke sungai;menjaga sumber mata air;menanam pohon;#;b
3;Lingkungan bisa rusak karena faktor alami dan ...;faktor takdir;faktor manusia;faktor tuhan;faktor x;#;b
3;Manakah yang bukan bagian dari denah sekolah?;letak kelas;ruang guru;letak dapur;letak bengkel;#;c
3;Peta adalah gambaran tentang ...yang dibuat dalam bidang datar.;manusia;alam;permukaan bumi;kehidupan;#;c
3;Manakah yang merupakan peta wilayah kota?;peta Indonesia;peta sumatera;peta bogor;peta dunia;#;c
3;Gotong royong sesuai dengan Pancasila sila yang ke ...;satu;dua;tiga;empat;#;c
3;Salah satu manfaat kerjasama adalah ...;mendatangkan uang;mendatangkan musuh;mempererat persatuan;merusak hubungan;#;c
3;Pekerjaan berikut yang memerlukan keahlian di bidang mesin adalah ...;Perajin;Bengkel mobil;Salon kecantikan;Peternak ayam;#;b
3;Untuk memenuhi kebutuhan hidupnya orang harus ...;Gembira;Belajar;Bekerja;Menuruti keinginannya;#;c
3;Orang yang malas bekerja hidupnya akan ...;Enak;Senang;Santai;Sengsara;#;d
3;Berikut ini yang termasuk contoh ciri-ciri semangat kerja adalah ...;Putus asa bila ada kesulitan;Mencintai pekerjaan;Menunda pekerjaan;Malas bekerja;#;b
3;Salah satu tanggung jawab anak sebagai murid adalah ...;Tidur tepat waktu;Belajar;makan makanan bergizi;membantu orang tua;#;b
3;Kakak bertanggung jawab atas keselamatan adik artinya ...;Kakak harus menjaga adil jangan sampai luka;Kakak boleh memukul adik;Kakak membiarkan adik semaunya;Kakak membiarkan adik makan sebanyak-banyaknya;#;a
3;Bekerja dengan semangat yang tinggi akan memperoleh hasil ...;Mengecewakan;Biasa saja;menyenangkan;memuaskan;#;d
3;Kegiatan jual beli terjadi jika ada kesepakatan harga barang antara penjual dan ...;Pedagang;Pembeli;penjual;pengelola pasar;#;b
3;Ibu membeli kebutuhan barang sehari-hari di ...;Apotik;Kantor pos;pasar;rumah sakit;#;c
3;Koperasi sekolah menjual barang seperti ...;Kedelai, kertas dan tali;Pancing, jaring dan kapal;cangkul, sabit dan pupuk;seragam sekolah, buku dan alat tulis;#;d
3;Barang yang dibeli telah di beri label harga. Hal ini terjadi di pasar ...;Pasar swalayan;Pasar tradisional;pasar loak;pasar induk;#;a
3;Tempat pembayaran di pasar modern atau swalayan di ...;Pramuniaga;Kasir;penjual;loket;#;b
3;678 dibaca ...;enam tujuh delapan;enam ratus tujuh puluh delapan;enam tujuh puluh delapan;enam ratus tujuh puluh;#;b
3;Empat ratus tujuh ditulis ...;470;407;47;704;#;b
3;Nilai tempat angka 8 pada bilangan 807 adalah ...;ratusan;puluhan;satuan;ribuan;#;a
3;Angka 9 pada bilangan 791 nilainya ...;9;90;900;9000;#;b
3;ratusan + 0 puluhan + 3 satuan = ...;703;730;73;73;#;a
3;519 ... 591 tanda pertidaksamaannya adalah ...;>;<;=;salah semua;#;b
3;Hasil dari 278 + 369 = ...;637;367;647;467;#;c
3;Hasil dari 612 - 128 = ...;428;328;448;484;#;d
3;¾ penyebutnya adalah...;3;4;7;1;#;b
3;1/6 ... 6/1 tanda yang sesuai adalah...;<;>;=;<;#;a
3;3/5, 1/5, 4/5, 2/5 dan 5/5 bilangan diurut dari yang terkecil adalah...;1/5, 2/5, 3/5, 4/5, 5/5;1/5, 2/5, 4/5, 3/5, 5/5;5/5, 4/5, 3/5, 2/5, 1/5;3/5, 2/5, 4/5, 5/5, 1/5;#;a
3;2/5 ... 1/3 Tanda yang tepat untuk kalimat di atas adalah...;<;=;>;>;#;c
3;¼, 2/4, ...5/4 Isian untuk titik-titik agar menjadi deretan bilangan yang benar adalah...;¾, 4/3;¾, 4/4;¾, 4/5;4/4, 5/4;#;b
3;Bangun yang mempunyai tiga sisi sama panjang adalah...;Segitiga sama sisi;Segitiga sama kaki;Segitiga siku-siku;Segitiga sembarang;#;a
3;Bangun yang mempunyai dua pasang sisi berhadapan sejajar dan sama panjang adalah...;Persegi;Persegi panjang;Layang-layang;Belah ketupat;#;b
3;Sudut yang besarnya 90° disebut sudut...;Tumpul;Lancip;Siku-siku;kecil;#;c
3;Alat yang digunakan untuk mengukur besar sudut adalah...;Busur derajat;Meteran;Neraca;kilometer;#;a
3;Daun pintu kelas berbentuk bangun...;Persegi panjang;Persegi;Segitiga;Jajar genjang;#;a
3;Putri mempunyai pita ¾ m. Sementara ira mempunyai pita 4/5 m. Pita yang lebih panjang dimiliki oleh...;Putri;Ira;Ana;Putri dan Ira;#;b
3;Dengan adanya kloset akan mencegah...;pencemaran lingkungan;influenza;demam berdarah;sakit jantung;#;a
3;Penyakit diare disebabkan oleh...;olahraga yang tidak teratur;makanan tidak bergizi;makanan yang tercemar;minum air tidak matang;#;C
3;Makan makanan sembarangan akan mengakibatkan penyakit...;diare;demam berdarah;influenza;keracunan makanan;#;A
3;Penyakit Influenza sangat cepat penularannya terhadap orang lain, lantaran menyebar melalui...;bersentuhan;tinja;udara;berbagi alat makan;#;C
3;Posisi tangan dan kaki ketika renang dengan gaya dada adalah...;mengangkat ke atas air;salah satu kaki di bawah air;di bawah air;bergerak seperti katak;#;D
3;Nyamuk Aedes aegypti berkembang di air...;kotor;bersih;sumur;genangan;#;B
3;Posisi tubuh pada ketika renang dengan gaya dada adalah...;terlentang;telungkup;miring;sejajar permukaan air;#;B
3;Jarak jamban dan sumber air higienis minimal...meter.;5;8;10;15;#;C
3;Untuk melatih posisi badan, lakukan latihan...;meluncur;terlentang;lompat;berdiri di satu kaki;#;A
3;Membuang air besar sebaiknya di...;jamban;sungai;sawah;toilet umum;#;A
3;Memutar, mengayun, dan meliukkan tubuh termasuk gerakan...;lokomotor;nonlokomotor;manipulatif;stasioner;#;B
3;Sebelum berangkat bertualang, sebaiknya kita ...;membawa makanan yang banyak;mandi terlebih dahulu;memilih arah dan tujuan;memeriksa perlengkapan;#;D
3;Nyamuk Aedes aegypti menggigit insan dan sanggup membuatkan penyakit...;influenza;demam berdarah;gusi bengkak;malaria;#;B
3;Saat dalam berpetualang, sebaiknya memakai pakaian...;yang nyaman;olahraga;seragam;yang menyerap keringat;#;A
3;Berikut ini cara untuk mencegah penyakit influenza, kecuali...;istirahat yang cukup;makan makanan yang bergizi;minum-minuman yang bersoda;rajin cuci tangan;#;C
3;Kegiatan di alam terbuka atau berpetualang sanggup dilakukan dengan cara...;tiduran di taman;menjelajahi perkampungan;jalan-jalan di mall;mendaki gunung;#;D
3;Pada gerakan melangkah ke depan, posisi kaki adalah...;dilangkahkan;ditekuk;diputar;diangkat;#;A
3;Supaya tidak digigit nyamuk, sebelum tidur kamar harus disemprot dengan...;air;minyak wangi;obat nyamuk;lotion anti nyamuk;#;C
3;Gerakan awal pada jalan di daerah adalah...;bangkit tegak;bangkit serong;menarik kaki ke atas;melangkah pelan;#;A
3;Buang air besar sembarangan akan menciptakan lingkungan...;aman;tercemar;nyaman;berbau;#;B
3;Gerakan dasar terbagi menjadi...gerakan;tiga;dua;satu;empat;#;A
3;Menendang dan menangkap bola termasuk gerakan...;lokomotor;nonlokomotor;manipulatif;kombinasi;#;C
3;Menekuk jari lengan ke bawah dan ditahan 8 hingga 10 hitungan bertujuan untuk melatih...;kelenturan persendian lengan;kelenturan sendi kaki;kelenturan sendi leher;kelenturan jari-jari;#;A
3;Membungkukkan tubuh ke bawah bertujuan untuk melatih...;kelenturan sendi punggung;kelenturan sendi lengan;kelenturan sendi leher;kelenturan pinggang;#;A
3;Gerakan berirama disebut...;gerakan ritmik;gerakan senam;gerakan bermusik;gerakan teratur;#;A
3;Untuk melatih kelentukan sanggup dilakukan dengan...;push up;naik turun tangga;membungkukkan tubuh ke bawah;senam peregangan;#;D
3;Melompat dilakukan dengan...;menolakkan kaki sekuat mungkin;melangkah;berlari;mengayunkan lengan;#;A
3;Senam ketangkasan tanpa memakai alat yaitu dengan latihan...;melompati tali;lompat ke lubang ban;melompat satu kaki;berdiri dengan satu kaki;#;C
3;Salah satu prinsip hidup sehat adalah lebih baik mencegah daripada.....;sakit;menderita;mengobati;terjangkit;#;c
3;Penyakit diare ditandai dengan seringnya penderita.......;muntah;mimisan;bersin;buang air besar;#;d
3;Salah satu olahraga yang memadukan seni dan olahraga adalah......;senam irama;angkat besi;renang;sepak bola;#;a
3;Yang bukan merupakan tujuan senam berikut ini adalah........;badan bertambah tinggi;membentuk kekuatan tubuh;membentuk keindahan tubuh;agar tubuh bugar;#;a
3;Induk organisasi senam nasional adalah.........;PSSI;PERBASI;PERSARI;PERSANI;#;d
3;Senam irama disebut juga senam..........;buyung;tera;jantung sehat;ritmik;#;d
3;Olahraga berikut yang membutuhkan kerjasama tim/regu adalah.......;renang;bola voli;catur;selancar;#;b
3;Olahraga berikut yang bisa dikerjakan secara perorangan/individu adalah........;sepak takraw;bulutangkis;sepakbola;futsal;#;b
3;Jalan, lari dan lompat adalah gerakan dasar cabang.......;renang;senam;atletik;beladiri;#;c
3;Gerakan melangkah dengan kecepatan tinggi disebut.......;lari;jalan;lompat;loncat;#;a
3;Lencang depan...... Kelanjutan untuk aba-aba tersebut yaitu......;jalan;mulai;grak;laksanakan;#;c
3;Kehilangan cairan tubuh disebut........;vitamin;influenza;diare;dehidrasi;#;d
3;Salah satu kebiasaan tidak sehat berikut ini adalah......;menyikat gigi;memotong kuku;keramas teratur;meludah sembarangan;#;d
3;Nyamuk Aedes aegepty adalah penyebar penyakit..........;malaria;demam berdarah;diare;kanker paru-paru;#;b
3;Olahraga air yang membutuhkan tenaga ekstra berikut ini adalah.......;polo air;selam;ski air;selancar;#;a
3;Tujuan utama permainan sepakbola adalah membuat......sebanyak-banyaknya.;tendangan;pelanggaran;bola;gol;#;d
3;Alat yang diperlukan untuk olahraga senam berikut ini adalah........;matras;sepatu;helm;kacamata;#;a
3;Permainan kasti dilakukan secara.......;beregu;perorangan;individu;berpasangan;#;a
3;Arema Cronous adalah tim kesebelasan yang berasal dari daerah.......;Surabaya;Malang;Madura;Bandung;#;b
3;Batuk, demam, sakit kepala, nyeri otot dan hidung tersumbat adalah gejala penyakit...;demam berdarah;diare;influenza;masuk angin;#;c
3;Gabungan gerak yang satu dengan yang lain disebut ...;Kombinasi gerak;Paduan gerak;Mengumpulkan gerak;Gerak campuran;#;a
3;Ciri anak bertanggung jawab bila diberi tugas oleh guru adalah ... .;merasa senang dan bangga;dikerjakan dengan baik;minta bantuan teman;yang penting selesai pekerjaannya;#;b
3;Yang bukan termasuk contoh perilaku menjaga harga diri di lingkungan keluarga adalah ... .;menjaga nama baik keluarga;tidak peduli terhadap keluarga;taat beragama;menjauhkan diri dari sikap menang sendiri;#;b
3;Harga diri manusia dinilai berdasarkan ...;kaya -- raya;pangkatnya;sikap dan perilaku yang baik;prestasinya;#;c
3;Manusia sebagai mahluk Tuhan kedudukannya lebih tinggi dengan mahluk lainnya disebabkan karena manusia diberi ... .;Kepandaian;Kehidupan;kelebihan;akal dan budi;#;d
3;Harga diri manusia berkaitan erat dengan ... .;kekayaan;perbuatan;keturunan;pekerjaan;#;b
3;Harga diri yaitu ...;menghargai semua orang tanpa membeda bedakan;malu jika berpakaian kurang bagus dan jelek;nilai yang ada dalam diri kita berupa pikiran dan perasaan, dan perbuatan;menceritakaan kelebihan yang kita miliki pafda orang lain;#;c
3;Sebelum kita menghargai orang lain terlebih dahulu menghargai ... .;diri sendiri;guru;orang tua;teman dekat;#;a
3;Melakukan perbuatan yang tidak terpuji menyebabkan seseorang harga dirinya ...;tinggi;rendah;biasa saja;sedang -- sedang saja;#;b
3;Harga diri kita harus dijaga sejak ... .;remaja;dewasa;anak anak;tua;#;c
3;Sikap kita terhadap orangtua adalah ... .;membantah;kasar;biasa saja;sopan dan santun;#;d
3;Melakukaan suatu pekerjaan harga dirinya harus terjaga dengan landasan ...;berat hati;malas;sombong;ikhlas;#;d
3;Menaati aturan di sekolah, di kelas ataupun diluar kelas termasuk menjaga nama baik ...;diri sendiri;sekolah;keluarga;masyarakat;#;b
3;Perilaku yang tidak baik dalam kehidupan sehari -- hari dapat merugikan ...;orang tua;keluarga;sekolah;diri sendiri;#;d
3;Anak yang mau berusaha dan belajar giat menunjukkan sikap ...;malas;semangat;masa bodoh;tenggang rasa;#;b
3;Walaupun mempunyai banyak kelebihan kita tidak boleh bersikap ...;rendah hati;membangga -- banggakan;meremehkan orang lain;sombong;#;d
3;Sumpah Pemuda diikrarkan oleh ... Indonesia.;Bangsa;pemuda;anak-anak;ibu-ibu;#;a
3;Isi Sumpah Pemuda adalah ...;Satu nusa satu tanah air satu bangsa;Satu nusa satu bahasa satu daerah;Satu bangsa satu bahasa satu negara;Satu nusa satu bangsa satu bahasa;#;d
3;Hidup rukun dapat memperkuat ...;Jiwa kebangsaan;gemar menolong tanpa membedakan;Persatuan dan kesatuan;bangga sebagai bangsa Indonesia;#;c
3;"Kata ""Devide et impera"" artinya adalah ...";Berbeda-beda tetapi tetap satu;mempersatukan bangsa Indonesia;Memecah belah untuk menguasai;mengikuti kebaikan para penjajah;#;c
3;Warisan Sumpah Pemuda harus dijaga oleh ...;TNI dan POLRI;para pendiri negara;Pemerintah;segenap bangsa Indonesia;#;d
3;"Pencipta lagu ""Indonesia Raya"" adalah ...";WR. Supratman;C. Simanjuntak;Ismail Marzuki;Moh. Yamin;#;a
3;Jika kita telah membuat janji, sebaiknya ...;Menunggunya;menepatinya;Membiarkannya;melanggarnya;#;b
3;Akibat orang yang tidak menepati janji adalah ...;Menjadi orang kepercayaan;disayang oleh teman;Hilang kepercayaan kepadanya;disenangi oleh masyarakat;#;c
3;Sebelum Sumpah Pemuda, perjuangan mengusir penjajah masih bersifat ...;Kedaerahan;nasional;menyeluruh;sendiri-sendiri;#;a
3;Sumpah Pemuda sangat penting dalam sejarah Indonesia karena ...;Mudah dipecah belah;bangsa kita menjadi luas;Bangsa kita menjadi satu;bangsa Indonesia dikenal dunia;#;c
3;Salah satu nilai Sumpah Pemuda yang dapat kita ambil dari upacara bendera di sekolah adalah ...;Patuh pada guru;menghormati guru;Disiplin;pemerataan;#;c
3;Ikrar Sumpah Pemuda dikumandangkan tanggal ...;17 Agustus 1945;27-Apr-82;30-Apr-82;28 Oktober 1982;#;d
3;Tujuan diadakannya Kongres Pemuda I adalah ...;Memajukan paham persatuan Indonesia;Mempererat hubungan antar negara;Menyatukan berbagai pendapat yang sama;Menciptakan hidup rukun;#;a
3;Tri Koro Darmo diubah menjadi Jong Java pada tahun ...;1915;1917;1918;1928;#;c
3;Tokoh Jong Sumatranen Bond adalah ...;Bahder Johan dan WR. Supratman;Moh. Yamin dan Ir. Soekarno;Moh. Hatta dan Abu Hanifah;Moh. Hatta dan Ir. Soekarno;#;c
3;Sumpah Pemuda lahir karena ...;Organisasi yang berfikir kedaerahan;organisasi yang berfikir kemerdekaan;Organisasi yang berfikir persatuan;organisasi yang memifirkan kepentingan sendiri;#;c
3;Berikut ini negara-negara yang pernah menjajah Indonesia adalah ...;India, Jepang, Rusia;Belanda, Inggris, Jepang;Portugis, Spanyol, Cina;Belanda, Inggris, Amerika Serikat;#;b
3;Jong Celebes anggotanya berasal dari ...;Sulawesi;Ambon;Minahasa;Jawa;#;a
3;Arti Bhineka Tunggal Ika adalah ...;Sama-sama bersatu;bercerai berai;Semua suku Jawa bersatu;berbeda-beda tetapi tetap satu;#;d
3;Semboyan Bhineka Tunggal Ika terdapat pada ...;Lambang negara burung garuda;lambang koperasi;Lambang pramuka;lambang budaya suku bangsa di Indonesia;#;a
3;Bahasa persatuan kita adalah bahasa ...;Asing;daerah;Indonesia;Jawa;#;c
3;Bahasa yang dikenal di daerah tertentu disebut ...;Bahasa nasional;bahasa daerah;internasional;bahasa ibu;#;b
3;Sikap rela berkorban mengesampingkan kepentingan ...;Pribadi;kelompok;golongan;umum;#;a
3;Salah satu hasil Keputusan Kongres Pemuda II adalah ...;Menyatukan berbagai perkumpulan pemuda yang ada;Memajukan paham Persatuan Indonesia;Lagu Indonesia Raya ditetapkan sebagai lagu kebangsaan Indonesia;Rasa saling mempercayai terhadap sesama manusia;#;c
3;Ketua Kongres Pemuda II adalah ...;Amir Syarifudin;Moh. Yamin;Moh. Hatta;Sugondo Joyo Puspito;#;d
3;Dalam berjuang untuk mencapai kemerdekaan diperlukan ... yang kuat.;Persatuan dan kesatuan;perdamaian dan perjanjian;Persetujuan dan mufakat;persekutuan dan kerukunan;#;a
3;Kali pertama lagu Indonesia Raya dikumandangkan pada ...;Upacara bendera;Kongres Pemuda I;Proklamasi Kemerdekaan RI;Kongres Pemuda II;#;d
3;Mengerjakan atau memberi sesuatu kepada orang lain hendaknya didasari ...;Rasa ikhlas;setengah-setengah;terpaksa;jengkel;#;a
3;Berikut ini adalah tiga tujuan dari Tri Koro Dharmo, kecuali ...;Karsa;budi;bakti;sakti;#;d
3;Di bawah ini adalah salah satu contoh sikap ikut memelihara dan menjaga keutuhan masyarakat adalah ...;Ikut kerja bakti;ikut siskamling;Melaksanakan kerja bakti;melaksanakan olah raga;#;a
3;Seorang pejuang harus memiliki sikap ...;Disiplin;penakut;mudah bergaul;mudah menyerah;#;a
3;Sumpah Pemuda tidak membedakan derajat dan pangkat, martabat serta asal usul para pemuda. Merupakan salah satu ... Sumpah Pemuda.;Nilai budaya;nilai sosial;nilai agama;nilai juang;#;d
3;Kongres Pemuda I tahun 1926 antara lain bertujuan untuk ...;Membangkitkan semangat juang para pemuda;Mengawali perjuangan pemuda;Mempersiapkan Kongres Pemuda II;Mempersatukan organisasi para pemuda;#;a
3;Berikut ini contoh pengamalan nilai politik Sumpah Pemuda yaitu ...;Tidak memilih-milih dalam bersikap;Disiplin mematuhi tata tertib di sekolah;Selalu hidup rukun dengan siapa saja;Menghormati budaya daerah lain;#;a
3;Mencintai bangsa dengan cara bangga menggunakan produk buatan dalam negeri merupakan pengamalan nilai ... Sumpah Pemuda.;Politik;budaya;disiplin;perjuangan;#;b
3;Emas dan minyak bumi adalah hasil ...;Hutan;Laut;Sungai;Tambang;#;d
3;Padi ditanam di ...;Kebun;Hutan;Laut;Sawah;#;d
3;Berikut ini yang termasuk hewan dilindungi oleh pemerintah adalah ...;Komodo;Burung;Ayam;Kambing;#;a
3;Ikan laut yang dilindungi adalah ikan ...;Bandeng;Tongkol;Paus;Kakap;#;c
3;Burung cendrawasih adalah hewan asli daerah ...;Jawa Barat;Papua;Sumatra Barat;Bali;#;b
3;Bangsa Indonesia dikenal sebagai bangsa yang ...;Terpandang;Ramah dan sopan;Terpuji;Pernah dijajah;#;b
3;Rumah Banjar adalah rumah adat dari daerah ...;Sumatra Selatan;Sulawesi Selatan;Papua;Kalimantan Selatan;#;d
3;Kegiatan yang dilakukan masyarakat untuk menjaga keamanan disebut...;Ronda;Belajar;Menonton TV;Bermain;#;a
3;Rumah adat Aceh adalah rumah adat daerah ...;Maluku;Nangroe Aceh Darussalam;Bali;Papua;#;b
3;Semboyan Bhinneka Tunggal Ika artinya ...;Walapun berbeda-beda tetapi tetap satu;Maju bersama membangun bangsa;Satu nusa, satu bangsa, satu bahasa;Bersatu kita teguh, bercerai kita runtuh;#;a
3;Teman beragama lain sedang beribadah, maka kita...;Mengganggu;Menghina;Mengejek;Menghormati;#;d
3;Sikap membantu yang tidak boleh dilakukan adalah teman yang ...;Kesulitan dalam ulangan;Tertimpa bencana;Kesulitan dalam belajar kelompok;Kesulitan dalam kerja sama;#;a
3;Tata tertib sekolah dibuat agar tercipta ...;Kegembiraan;Kelancaran;Kegaduhan;Ketertiban;#;d
3;Hari kemerdekaan RI pada tanggal ...;17 Agustus 1945;17 Juli 1945;17 Oktober 1945;17 Juni 1945;#;a
3;Tarian jaipong berasal dari daerah ...;Jawa Tengah;Jawa Timur;Jawa Barat;Riau;#;c
3;Sikap bangga terhadap anak Indonesia, contohnya ...;Malas sekolah;Malas belajar;Memakai produk Indonesia;Meniru budaya negara lain;#;c
3;Harga dri sama artinya dengan ...;Kehormatan diri;Kesenangan diri;Kesombongan;Kegagalan;#;a
3;Kelebihan yang kita miliki ,membuat sikap kita sebaiknya...;Cela diri;Tinggi hati;Rendah hati;Rendah diri;#;c
3;Tuhan menciptakan manusia sama dan...;Seimbang;Serupa;Sederajat;Seiman;#;b
3;Melakukan perbuatan tercela, menjadikan seseorang ...;Percaya diri tinggi;Harga diri rendah;Keberanian diri;Bangga;#;b
3;Perilaku yang mencerminkan harga diri adalah ...;Berbicara sopan pada orang yang lebih tua;Bertindak semaunya pada teman;Memamerkan barang yang dimiliki pada teman;Tidak mau tampil di depan kelas;#;a
3;Orang yang selalu menjaga harga diri akan selalu ... orang lain.;Diejek;Dihormati;Dimusuhi;Dihina;#;b
3;Cara menjaga harga diri yaitu dengan ...;Memarahi teman;Meremehkan teman;Sombong pada teman;Menghargai diri sendiri;#;d
3;Cara untuk meningkatkan harga diri adalah ...;Kelebihan kita adalah kekurangan yang harus diperbaiki;Memuji diri sendiri;Mengenali kelebihan dan kekurangan;Menerima diri dan tidak mau berubah;#;c
3;Penilaian terhadap harga diri seseorang dapat dilihat dari ...;Kekayaannya;Kemauan, sikap dan tingkah lakunya;Sikap dan tingkah lakunya;Keinginannya;#;b
3;Karya seni rupa yang berbentuk bidang datar dengan ukuran panjang dan lebar disebut ...;lima dimensi;tiga dimensi;empat dimensi;dua dimensi;#;d
3;Contoh karya seni rupa dua dimensi adalah ...;vas bunga;patung;lukisan kanvas;sepatu kaca;#;c
3;Kain batik merupakan hasil karya ...;seni musik;seni tari;seni rupa;seni kriya;#;b
3;Warna yang merupakan simbol dari kesucian adalah ...;merah;hitam;putih;hijau;#;b
3;Daun biasanya digambarkan dengan warna ...;merah;hitam;putih;hijau;#;d
3;Kesan perasaan senang biasanya ditunjukkan dengan warna yang ...;terang;gelap;samar-samar;sembarang (semua warna sama saja);#;a
3;Warna asli atau warna pokok antara lain ...;merah, kuning, biru;kuning, biru, hijau;merah, ungu, biru;merah, cokelat, hijau;#;a
3;Warna merah bila dicampur dengan warna kuning akan menghasilkan warna ...;hijau;ungu;jingga / oranye;cokelat;#;b
3;Warna matahari pada senja/sore hari adalah ...;biru;ungu;jingga;hitam;#;c
3;Seseorang yang memiliki keahlian dalam menggambar disebut ...;guru;pemahat;pelukis;penyanyi;#;c
3;Berikut ini menunjukkan sikap apresiasi terhadap karya seni ...;Wah, indah sekali lukisan ini! Aku akan memasangnya di kamarku.;Lukisan begini saja, aku juga bisa membuatnya!;Karya yang bagus, tapi mahal!;Oh, itu namanya lukisan?;#;a
3;Contoh karya seni asli Indonesia adalah ...;tato;lukisan;batik;fotografi;#;c
3;Gambar yang bersifat khayal atau imajinasi disebut gambar ...;imajinatif;abstrak;dekoratif;palsu;#;a
