Kelas;Soal;A;B;C;D;E;Jawaban
8;Diksi merupakan salah satu unsur penting ketika menyampaikan pengumuman. Pengertian diksi adalah...;Urutan yang benar;Pilihan waktu pengumuman;Detail dan jelas;Pilihan kata;#;D
8;Berikut adalah hal yang harus diperhatikan ketika membacakan pengumuman yaitu...;Isi pengumuman harus panjang;Intonasi dan pelafalan yang baik;Harus keras;Suasana ruangan harus mewah;#;B
8;Berikut adalah hal yang perlu dicantumkan dalam buku harian, kecuali...;Waktu dan tempat;Peristiwa apa yang dialami;Perasaan yang dialami;Tulisan harus rapi, resmi dan baku;#;D
8;Berikut adalah hal yang harus diperhatikan ketika membacakan teks perangkat upacara, kecuali...;Pengucapan yang tepat;Penjedaan yang sesuai;Intonasi yang pas;Mencari tempat yang pas;#;D
8;Penjedaan pembacaan teks Pancasila yang tepat adalah...;//Empat// Kerakyatan yang dipimpin / oleh hikmat kebijaksanaan / dalam permusyawaratan / perwakillan //;//Empat// Kerakyatan yang dipimpin oleh hikmat kebijaksanaan / dalam permusyawaratan perwakillan //;//Empat// Kerakyatan yang dipimpin oleh / hikmat kebijaksanaan / dalam permusyawaratan / perwakillan //;//Empat// Kerakyatan yang dipimpin / oleh / hikmat kebijaksanaan / dalam permusyawaratan / perwakillan //;#;A
8;Berikut yang merupakan perbedaan surat resmi dan surat pribadi yang tepat adalah...;Ditulis dengan komputer;Terdapat alamat yang dituju;Menggunakan bahasa resmi;Ada nama pengirim;#;C
8;Penulisan tanggal surat yang tepat adalah...;Cilacap 25 November 2015;Cilacap. 25 November 2015;Cilacap, 25-November-2015;Cilacap, 25 November 2015;#;D
8;Penulisan nama yang dituju adalah...;Yth. Kepala Sekolah SMP Al Azhar;Kepada Bapak Kepala Sekolah SMP Al Azhar;Kepada Yth. Kepala Sekolah SMP Al Azhar;Kepada Yth. Bapak Kepala Sekolah SMP Al Azhar;#;A
8;Berikut ini merupakan surat resmi adalah surat...;Dari ayah pada anaknya;Dari teman beda sekolah;Pemanggilan orang tua oleh kepala sekolah;Undangan dari teman sebaya acara ulang tahun;#;C
8;Kalimat berikut yang tepat untuk menutup surat pribadi adalah...;Kita jadi pergi ke pantai kan?;Semoga kamu baik-baik saja.;Sekian dulu ya, jangan lupa dibalas.;Semoga kita dapat berjumpa lain kali.;#;D
8;Berikut adalah ciri-ciri pantun, kecuali...;Bersajak aa aa;Baris pertama kedua sampiran, tiga empay isi;Satu bait terdiri dari empat baris;Setiap baris terdiri dari 8 -- 12 suku kata;#;A
8;Perhatikan pantun berikut! Kalau ada sumur di ladang Boleh kita menumpang mandi Kalau kita punya banyak uang Boleh kita menikah lagi Berdasarkan isinya, pantun tersebut termasuk jenis pantun...;Jenaka;Nasihat;Remaja;Sedih;#;A
8;Aris adalah anak yang giat belajar. Sinonim kata giat adalah...;Sering;Malas;Rajin;Sabar;#;C
8;Kalimat berikut yang termasuk polisemi adalah...;Bapak pergi ke kantor bersama Bapak Ari.;Kaki Andi tersandung kaki meja.;Kepala sekolah bertemu kepala desa;Anita berbadan kurus;#;C
8;Andira tak peduli atas kesengsaraan orang lain. Antonim kata tak peduli adalah...;Tak acuh;Acuh;Cuek;Perhatian;#;D
8;Berikut yang termasuk berita negatif adalah..;Arman Mauluna pergi ke Kota Banjar;Septiana mencintai istrinya;Hafsari gagal menjadi juara lomba catur;Malina pulang dengan hati riang;#;C
8;Kata ganti orang orang ketiga jamak adalah...;Saya, aku;Kamu, engkau;Dia, beliau;Mereka;#;D
8;Penulisan kata sapaan yang tepat adalah...;Apakah ibu hendak pergi ke pasar?;Apakah Ibu hendak pergi ke pasar?;Ibuku bertemu ibu Wati.;Ibu Anita menemui Ibu-ibu di terminal;#;B
8;Berikut yang merupakan contoh kata sifat komparatif adalah...;Andini sangat cantik;Andini lebih cantik dari Intan;Andini paling cantik di kelas;Andini cantik;#;B
8;"Berikut adalah arti dari peribahasa ""Di mana bumi dipijak di sana langit dijunjung adalah""";Di mana pun berada ingat untuk pulang kampung;Kita tinggal di bumi jadi harus ikut melestarikan;Kalau hendak pergi ingat pada Penguasa Langit;Kita harus bisa beradaptasi dengan adat istiadat daerah yang kita diami;#;D
8;"Arti dari ungkapa ""buah tangan"" adalah...";Suka mencuri;Suka membantu;Anak;Oleh-oleh;#;D
8;Berikut yang termasuk contoh pameo adalah...;Tut wuri handayani;Berakit ke hulu berenang ke tepian;Ada udang di balik batu;Air tenang menghayutkan;#;A
8;Tahapan metamorphosis sempurna yang dialami kupu-kupu adalah :;Telur, pupa, larva, imago;Telur, larva, pupa, imago;Larva, telur, pupa, imago;Pupa, larva, imago, telur;#;B
8;Tulang yang berisi sumsum merah sebagai tempat pembuatan sel darah merah adalah :;Tulang pipa;Tulang pipa dan tulang pipih;Tulang pipa dan tulang pendek;Tulang pipih dan tulang pendek;#;B
8;Proses pertumbuhan tulang yang berasal dari tulang rawan dimulai dari :;Munculnya pembuluh darah dan sel tulang pada tulang rawan;Munculnya jaringan tulang pada tulang rawan;Tulang rawan tumbuh membesar dan memanjang;Di bagian ujung tulang terjadi pertumbuhan memanjang;#;A
8;Garam mineral yang berfungsi sebagai bahan pembentuk hemoglobin dalam sel darah merah dan jika kekurangan dapat menyebabkan anemia adalah :;Natrium (Na);Klor (Cl);Kalsium (Ca);Ferum (Fe);#;D
8;Di dalam mulut terdapat enzim yang berfungsi mengubah karbohidrat menjadi zat gula sederhana atau maltose, enzim tersebut adalah :;Ptyalin;Pepsin;Rennin;Tripsin;#;A
8;Pada penderita bronchitis terjadi peradangan akibat infeksi virus, bagian yang terinfeksi adalah :;Sinus;Bronkus;Alveolus;Trakea;#;B
8;Jika kita menghembuskan udara sekuat-kuatnya maka di dalam paru-paru masih ada sisa udara 1 liter, volume sisa udara ini disebut :;Udara pernafasan;Udara residu;Kapasitas vital paru-paru;Kapasitas total paru-paru;#;B
8;Pada reaksi oksidasi biologi, rekasi yang terjadi adalah :;Sari makanan + CO2 + H2O --> energi + O2;Sari makanan + O2 --> energi + CO2 + O2;H2O + sari makanan --> energi + CO2 + H2O;Sari makanan + O2 --> energi + H2O;#;D
8;Peredaran darah yang selalu beredar dalam pembuluh darah adalah :;Peredaran darah terbuka;Peredaran darah tertutup;Peredaran darah kecil;Peredaran darah besar;#;B
8;Resipien yang dapat menerima darah dari semua golongan darah tanpa mengalami penggumpalan darah adalah resipien yang memiliki golongan darah :;A;B;C;D;#;A
8;Orang yang tinggal di daerah dataran rendah memiliki jumlah sel darah merah lebih sedikit karena di dataran rendah :;Udaranya panas;Udaranya sejuk;Kadar oksigennya rendah;Kadar oksigennya tinggi;#;D
8;Berkas pembuluh batang yang berfungsi mengangkut air dan mineral dari akar ke daun adalah :;Xylem;Floem;Empulur;Stele;#;A
8;Bagian bunga yang mempunyai bentuk dan warna yang beraneka ragam dan berfungsi menarik serangga penyerbuk adalah :;Putik;Benang sari;Mahkota bunga;Kelopak bunga;#;C
8;Alat perkembangibiakan secara generative pada tumbuhan adalah :;Akar;Batang;Bunga;Biji;#;C
8;Faktor-faktor yang diperlukan dalam fotosintesis adalah :;CO2, O2, cahaya;Klorofil, O2, H2O;Cahaya, H2O, klorofil, O2;Cahaya, H2O, klorofil, CO2;#;D
8;Pada proses fotosintesis, zat yang dihasilkan adalah :;Oksigen dan air;Glukosa dan oksigen;Karbondioksida dan oksigen;Karbondioksida dan air;#;B
8;Gerak akar tanaman menuju ke dalam tanah disebut gerak :;Kemotropisme;Fototropisme;Hidrotropisme;Geotropisme;#;D
8;Berikut ini yang merupakan contoh gerak nasti adalah :;Gerak menutupnya daun putri malu;Gerak akar tanaman ke dalam tanah;Gerak sulur tanaman yang melilit batang kayu;Gerak tumbuh batang ke arah cahaya;#;A
8;Atom adalah zat yang tidak dapat dibagi lagi menjadi partikel yang lebih kecil. Ilmuwan yang mengemukakan pendapat tersebut adalah :;J. J. Thompson;John Dalton;Rutherford;Niels Bohr;#;B
8;Inti atom tersusun dari partikel :;Proton dan elektron;Proton dan neutron;Elektron dan neutron;Nukleon dan elektron;#;B
8;Atom Kalsium memiliki 20 elektron, jumlah elektron yang terdapat pada kulit terluarnya adalah :;2;8;10;18;#;A
8;Sebuah atom dikatakan bermuatan positif jika :;Jumlah proton dan elektronnya sama;Jumlah elektron lebih banyak dari protonnya;Kehilangan satu atau beberapa elektron;Menangkap satu atau beberapa elektron;#;C
8;Rumus kimia berikut yang merupakan molekul senyawa adalah :;HCl;Na;Cl2;O3;#;A
8;Rumus kimia air adalah H2O, artinya setiap molekul air terdiri dari :;1 atom hidrogen dan 1 atom oksigen;1 atom hidrogen dan 2 atom oksigen;2 atom hidrogen dan 2 atom oksigen;2 atom hidrogen dan 1 atom oksigen;#;D
8;Fungsi buih pada detergen adalah :;Mencegah kotoran yang sudah terangkat mengendap kembali;Mengangkat kotoran lemak pada pakaian dan kulit;Mengikat kotoran lemak pada pakaian dan kulit;Menimbulkan bau harum pada pakaian sehabis dicuci;#;A
8;Formalin dilarang digunakan untuk mengawetkan makanan karena :;Bukan bahan pengawet;Bahan kimia industri keramik;Dapat menyebabkan kanker paru-paru dan gangguan pada alat pencernaan dan jantung;Bahan kimia industri kaca;#;C
8;Ikan yang diasinkan dengan diberi cukup garam dapat tahan lama karena :;Garam menambah cairan mikroorganisme pada ikan;Garam menyerap cairan pada mikroorganisme dan ikan;Garam melindungi ikan dari mikroorganisme;Garam menekan pertumbuhan jumlah mikroorganisme;#;B
8;Keadaan keinginan yang tidak tertahankan untuk mengkonsumsi obat terus-menerus, jika tidak terpenuhi jiwanya akan merasa gelisah, tertekan dan khawatir berlebihan, keadaan ini disebut :;Stimulasi;Depresi;Adiksi;Euphoria;#;C
8;Berikut ini merupakan zat adiktif yang menyerang saraf pusat untuk memperlambat proses tubuh yang menyebabkan turunnya kesadaran seseorang pada dunia sekelilingnya, yaitu :;Nikotin;Kafein;Alkohol;Ekstasi;#;C
8;Tiga sektor ekonomi yang merupakan kekuatan dalam tata perekonomian negara kita adalah...;BUMN, BUMS, dan BUMD;BUMN, BUMS, dan Koperasi;BUMN, BUMD, dan Koperasi;sektor pertanian, industri dan perdagangan;#;B
8;Badan usaha milik negara disebut...;perusahaan negara;perusahaan pemerintah;perusahaan swasta;PT Persero;#;A
8;Dasar hukum pendirian perusahaan negara adalah...;Pasal 31 UUD 1945;Pasal 32 UUD 1945;Pasal 33 UUD 1945;Pasal 34 UUD 1945;#;C
8;Berikut ini beberapa alasan pemerintah mendirikan BUMN, kecuali;untuk memenuhi semua kebutuhan masyarakat;untuk memberikan pelayanan umum kepada masyarakat;untuk mencegah timbulnya monopoli swasta;untuk menambah sumber penghasilan negara;#;A
8;Dalam BUMN mayoritas atau bahkan seluruh saham perusahaan dimiliki oleh...;investor asing;investor dalam negeri;negara atau pemerintah;investor dan pemerintah;#;C
8;Bentuk hukum perusahaan swasta di Indonesia adalah...;Perum, Persero, dan Firma;CV dan PT;PT, Firma, dan Koperasi;Persero, Firma, dan Koperasi;#;B
8;Tujuan utama dari perusahaan swasta adalah...;menciptakan kemakmuran masyarakat;menciptakan lapangan pekerjaan;mencari keuntungan sebesar-besarnya;mencari sumber-sumber ekonomi baru;#;C
8;Peran utama swasta dalam perekonomian Indonesia adalah...;menciptakan lapangan pekerjaan;menambah sumber devisa negara;membantu pemerintah dalam usaha pemerataan pendapatan;merupakan soko guru perekonomian Indonesia;#;A
8;Salah satu contoh perusahaan swasta yang bergerak dalam industri perakitan mobil adalah...;Indofood;PT Unitex;PT Astra Internasional;PT Koninndo Tex;#;C
8;Berikut ini yang tidak termasuk manfaat adanya kemajuan pada sektor usaha swasta adalah...;meningkatkan pendapatan masyarakat;memperluas lapangan pekerjaan;menetapkan harga barang hasil produksi sesuai dengan seleranya;menambah sumber pendapatan negara berupa pajak;#;C
8;Pasar sebagai sarana memperkenalkan produk tertentu merupakan fungsi...;pembentukan harga;promosi;penyerapan tenaga kerja;jual beli;#;B
8;Pekan Raya Jakarta merupakan jenis pasar...;harian;mingguan;bulanan;tahunan;#;D
8;Pasar swalayan merupakan jenis pasar...;konkret;abstrak;internasional;nasional;#;A
8;Pasar dimana barang yang diperjualbelikan berada di tempat lain disebut pasar...;konkret;abstrak;internasional;nasional;#;B
8;Contoh pasar abstrak adalah...;butik;pasar induk sayuran;minimarket;bursa efek;#;D
8;Berikut adalah ciri-ciri pasar tidak sempurna, kecuali...;pembeli tidak mengetahui keadaan pasar;penjual tidak mengetahui keadaan pasar;barang bersifat homogen;barang bersifat heterogen;#;C
8;Pasar yang pembentukan harganya ditentukan oleh satu orang atau sekelompok pembeli disebut pasar...;monopoli;monopsoni;duopoli;duopsoni;#;B
8;Berikut adalah ciri-ciri pasar konkret, kecuali...;transaksi dilakukan lewat telepon;barang tersedia di tempat (pasar);cash and carry;pertemuan langsung antara penjual dan pembeli;#;A
8;Kegiatan menyalurkan barang atau jasa dari produsen ke konsumen disebut...;produksi;distribusi;konsumsi;proses;#;B
8;Pasar yang memperjualbelikan surat berharga disebut...;pasar konkret;pasar uang;pasar abstrak;pasar modal;#;D
8;Lembaga bentukan Jepang yang bertugas mengumpulkan data-data yang diperlukan untuk Indonesia merdeka adalah...;PPKI;Pemuda Asia Raya;Jawa Hokokai;BPUPKI;#;D
8;Pada zaman pendudukan Jepang terjadi pemberontakan PETA di Blitar dibawah pimpinan...;Surachman;Gatot subroto;Supriyadi;Jenderal Sudirman;#;C
8;Penyerahan tanpa syarat pemerintahan Hindia Belanda kepada Jepang ditandatangani di...;Jakarta;Kalijati;Manila;Linggarjati;#;B
8;Tokoh-tokoh peristiwa Rengasdengklok, antara lain adalah...;B M Diah - Moh. Hatta;Sukarno - Sukarni;Gunawan - Sutomo;Sukarni - Wikana;#;D
8;Setelah BPUPKI dibubarkan, dibentuklah PPKI dengan ketua...;Moh. Hatta;Dr. Radjiman Widiodiningrat;Ir. Soekarno;Dr. Sutomo;#;C
8;Berita kekalahan Jepang dalam pertempuran di Laut Karang disusul dengan pemboman Kota Hiroshima dan Nagasaki merupakan titik tolak bagi para pemuda untuk segera menentukan sikap yang tegas. Para pemuda itu, terutama yang bekerja di kantor berita Jepang adalah...;Wikana dan Sultan Syahrir;Wikana dan Yusuf Kunto;Yusuf Kunto dan Mr. Ahmad Subardjo;Mr. Ahmad Subardjo dan Sukarni;#;B
8;Menjelang detik-detik proklamasi kemerdekaan Indonesia, terutama setelah selesainya pembuatan konsep naskah proklamasi oleh Sukarno-Hatta, timbul suatu permasalahan, yaitu...;pendapat Sukarni bahwa Soekarno-Hatta tidak lengkap;keinginan Bung Hatta agar Ir. Soekarno yang menandatangani naskah;Chairul Saleh usul agar semua yang hadir menandatangani naskah;usul Sukarni dan Sayuti Melik usul agar naskah itu ditandatangani Soekarno-Hatta atas nama bangsa Indonesia;#;D
8;Latar belakang terjadinya peristiwa Rengasdengklok, yaitu...;pertentangan para pemuda dengan pimpinan Jepang;pertentangan para pemuda dengan golongan tua dalam menetapkan proklamasi kemerdekaan;suatu peristiwa mengawali kemerdekaan Indonesia;pertentangan antarpihak Jepang dengan pihak Sekutu;#;B
8;Penyebarluasan berita proklamasi kemerdekaan Indonesia ke Sulawesi dilakukan oleh...;A.A. Maramis;A.A. Hamidan;Sam Ratulangi;Ketut Pudja;#;C
8;Berita proklamasi kemerdekaan Indonesia berhasil disebarluaskan melalui siaran Radio Kyoku oleh...;Yusuf Kunto;Chairul Saleh;Yusuf Ronodipuro;Sayuti Melik;#;C
8;Tindakan yang dilakukan berdasarkan kebiasaan turun temurun tanpa menyadari alasannya, dapat digolongkan dalam jenis tindakan...;afektif;tradisional;subjektif;rasional;#;B
8;Pernyataan berikut yang tidak merupakan contoh tindakan sosial adalah...;Dika mengkhayalkan pria idolanya;Iwan mengikuti pertandingan sepak bola;Reni membantu ibu menjaga adik;Sinta berlari mengejar Rita;#;A
8;Ciri-ciri tindakan sosial yang bersifat rasional berorientasi nilai adalah...;bersifat nonrasional;tingkat rasional paling tinggi;ditandai oleh dominasi perasaan;tanpa refleksi intelektual;#;B
8;Suatu tindakan dapat dikatakan sebagai tindakan sosial apabila...;terjadi saling mempengaruhi satu sama lain;berorientasi pada atau dipengaruhi oleh orang lain;dilakukan dengan penuh kesadaran;dikerjakan dengan orang lain sebagai objek;#;B
8;Pernyataan berikut ini yang merupakan contoh interaksi sosial adalah...;Ridwan berdoa dengan khusuk;Lisa melukis pemandangan;Rika memandangi potret kekasihnya;Pak Seno menerangkan masalah Sosiologi;#;D
8;Pernyataan yang bukan merupakan ciri-ciri interaksi sosial adalah...;berpedoman pada norma-norma yang berlaku;tidak ada reaksi dari pihak lain;ditentukan oleh dimensi waktu;ada komunikasi sebagai pengantar interaksi;#;B
8;Syarat terjadinya interaksi sosial adalah...;aksi dan reaksi;komunikasi dan stimulus;kontak dan komunikasi;kontak dan respon;#;C
8;Jika suatu interaksi sosial terjadi, maka secara otomatis tindakan sosial berlangsung sebab...;interaksi sosial dan tindakan sosial tidak dapat dipisahkan;interaksi sosial merupakan dasar dari tindakan sosial;manusia berinteraksi melalui komunikasi;manusia berhubungan di dalam interaksi;#;B
8;Pernyataan yang merupakan contoh kontak primer langsung adalah...;Mia menelepon Ani;Rita berkirim surat pada ibu;Mitra berkirim salam lewat radio;Andi berjabat tangan dengan Nina;#;D
8;Nurmansyah minta tolong kepada Sammy agar menyampaikan salam untuk Indri. Kontak sosial demikian termasuk kontak...;sekunder;sekunder langsung;primer tidak langsung;sekunder tidak langsung;#;D
8;Penduduk usia produktif atau yang telah memasuki usia kerja, baik yang sudah bekerja maupun aktif mencari kerja yang masih mau dan mampu untuk melakukan pekerjaan, dinamakan...;penduduk;tenaga kerja;angkatan kerja;pengangguran;#;C
8;Golongan angkatan kerja adalah sebagai berikut, kecuali...;golongan yang sedang bekerja;golongan usia telah lanjut;golongan yang sedang duduk dibangku sekolah;golongan kanak-kanak;#;A
8;Penduduk yang sudah memasuki usia kerja, baik yang sudah bekerja, belum bekerja atau sedang mencari pekerjaan, dinamakan...;penduduk;angkatan kerja;tenaga kerja;pengangguran;#;B
8;Faktor-faktor yang mempengaruhi angkatan kerja adalah, kecuali...;jumlah penduduk;usia penduduk;tingkat pendidikan;piramida penduduk;#;D
8;Orang-orang yang betul-betul tidak bekerja dinamakan...;pengangguran terbuka;pengangguran setengah terbuka;pengangguran terselubung;pengangguran friksional;#;A
8;Pengangguran yang terjadi karena adanya orang yang rela meninggalkan pekerjaannya untuk mendapatkan penghasilan lain, disebut...;pengangguran voluntary;pengangguran teknologi;pengangguran terselubung;pengangguran friksional;#;A
8;Kondisi di mana seseorang pada usia tertentu telah mendapatkan posisi sesuai dengan tingkat pendidikannya dan dapat hidup layak, disebut...;kesempatan kerja;angkatan kerja;tenaga kerja;pengangguran friksional;#;A
8;Berikut adalah negara tujuan TKI, kecuali...;Hongkong;Malaysia;Rusia;Arab Saudi;#;C
8;Upaya pemerintah dalam meningkatkan sumber daya manusia adalah sebagai berikut, kecuali...;perbaikan gizi;peningkatan jumlah penduduk;pelatihan tenaga kerja;pemagangan;#;B
8;Ciri-ciri sistem ekonomi tradisional, kecuali...;barter;untuk kebutuhan sendiri;diatur oleh pemerintah;kegiatannya berburu;#;C
8;Negara yang menganut sistem ekonomi liberal adalah...;Iran;Jepang;Arab Saudi;Indonesia;#;B
8;Sistem ekonomi Indonesia adalah...;tradisional;demokrasi Pancasila;sentral;liberal;#;B
8;Pelaku ekonomi di Indonesia, kecuali...;BUMN;LSM;BUMS;Koperasi;#;B
8;Undang-Undang tentang pajak adalah...;UU No. 8 Tahun 1994;UU No. 10 Tahun 1994;UU No. 11 Tahun 1995;UU No. 20 Tahun 1998;#;B
8;Tarif pajak yang tidak tergantung besar kecilnya objek pajak adalah...;tarif tetap;tarif proporsional;tarif progresif;tarif degresif;#;A
8;Tarif yang menggunakan persentase yang jumlahnya tetap adalah...;tarif tetap;tarif proporsional;tarif progresif;tarif degresif;#;B
8;Fungsi pajak sebagai sumber pendapatan negara adalah...;fungsi anggaran;fungsi pembiayaan;fungsi stabilisasi;fungsi retribusi perdagangan;#;A
8;Fungsi pajak sebagai fasilitas umum adalah...;fungsi anggaran;fungsi pembiayaan;fungsi stabilisasi;fungsi retribusi perdagangan;#;B
8;Pajak yang dikenakan terhadap barang mewah adalah...;PPh;PPnBM;PPN;PBB;#;B
8;Proses penyerapan sari-sari makanan terjadi pada...;Lambung;Mulut;Usus besar;Usus halus;#;D
8;Pepsinogen dapat diaktifkan oleh HCL menjadi pepsin. Pepsin berfungsi untuk mengubah...;Protein menjadi asam amino;Karbohidrat menjadi gula;Lemak menjadi asam lemah;Protein menajdi pepton;#;D
8;Escherichia Coli merupakan jenis bakteri yang menguntungkan yang terdapat di dalam usus besar, karena dapat...;Membantu pembusukan sisa makanan;Membantu pencernaan serat;Membinasakan kuman penyakit;Membantu mengatur kadar air sisa makanan;#;A
8;Enzim ptealin terdapat di...;Lambung;Air liur;Usus besar;Mulut;#;B
8;Dari pernyataan berikut ini, yang bukan fungsi lemak bagi tubuh adalah...;Pelarut vit A, D, E, K;Sumber Energi;Cadangan makanan;Pembangunan enzim;#;D
8;Cairan empedu yang dihasilkan hati berperan dalam pencernaan, yaitu...;mengurangi zat tepung;membasmi bibit penyakit;mengurangi lemak;mengemulsi lemak;#;D
8;Berikut ini termasuk alat-alat pernapasan pada tubuh manusia, kecuali...;hidung;kerongkongan;tenggorokan;paru-paru;#;C
8;Pertukaran gas oksigen dari udara atmosfer dengan karbondioksida terjadi di...;rongga hidung;rongga mulut;bronkus;alveoulus;#;D
8;Saat manusia bernapas, terjadi peristiwa...;Pengambilan air dan pelepasan O2;Pengikatan Oksigen dan Pelepasan CO2;Pengikatan CO2 dan pelepasan O2;Pengikatan air dan pelepasan CO2;#;B
8;Meskipun kamu menghembuskan napas kuat-kuat, udara di dalam paru-paru masih tetap ada. Volume udara ini disebut...;Udara komplementer;Kapasitas vitas;Kapasitas total;Udara residu;#;D
8;Urutan organ pernapasan yang benar dari luar ke dalam adalah...;Mulut, tenggorokan, paru-paru;Hidung, kerongkongan, paru-paru;Hidung, tenggorokan, paru-paru;Mulut, kerongkongan, paru-paru;#;C
8;Proses inspirasi mengakibatkan...;Otot diafragma berkontraksi;Tekanan dalam rongga dada bertambah;Otot-otot tulang rusuk melemas;Rongga dada mengecil;#;A
8;Diafragma adalah sekat yang membatasi...;Rongga dada dan rongga perut;Paru-paru dan jantung;Paru-paru dan rongga perut;Trakea dan laring;#;A
8;Pernapasan perut terjadi karena...;Kontraksi otot punggung;Kontraksi dan relaksasi otot diafragma;Kontraksi dan relaksasi otot antar tulang rusuk;Kontraksi dan relaksasi otot perut;#;B
8;Bertambahnya ukuran dan volume sel suatu makhluk hidup yang bersifat tidak dapat kembali disebut...;Pertumbuhan;Perkembangan;Metamorfosis;Metagenesis;#;A
8;Faktor lingkungan berikut mempengaruhi pertumbuhan pada tumbuhan, kecuali...;Suhu;Gen;Kelembapan;Air;#;B
8;Perkembangan pada tumbuhan contohnya...;Batang mangga bertambah besar;Pohon mangga bertambah tinggi;Pohon mangga menghasilkan bunga;Daun mangga bertambah lebat;#;C
8;Serangga yang mengalami metamorphosis tidak sempurna adalah...;Kupu-kupu;Katak;Nyamuk;Belalang;#;D
8;Pergiliran keturunan dari generasi sporofit kegenerasi gametofit dan sebaliknya disebut...;Metamorfosis;Konjungasi;Metagenesis;Fertilisasi;#;B
8;Ciri-ciri pertumbuhan sekunder pria yang terjadi pada masa pubertas adalah...;Terbentuknya buah dada;Terjadi menstruasi;Terbentuknya kumis;Terbentuknya alis;#;C
8;Wanita yang berumur di atas 50 tahun akan mengalami fase berhenti haid yang disebut...;Ovulasi;Menarche;Menopause;Fertilisasi;#;C
8;Otot polos banyak terdapat pada...;Otot lingkar mulut;Otot penggerak bola mata;Otot lidah;Dinding usus;#;D
8;Otot jantung mempunyai sifat-sifat istimewa, yaitu...;Susunannya seperti otot lurik, kerjanya tidak sadar;Susunannya seperti otot polos, kerjanya tidak sadar;Susunannya seperti otot lurik, kerjanya sadar;Susunannya seperti otot polos, kerjanya sadar;#;A
8;Di bawah ini yang seluruhnya termasuk kedalam tulang pipih adalah...;Tulang rusuk, tulang lengan, tulang paha;Tulang rusuk, tulang dada, tulang belakang, tulang pergelangan;Tulang belikat, tulang rusuk, tulang pergelangan;Tulang belikat, tulang dada, tulang rusuk, tulang panggul;#;D
8;Gerakan tumbuhan yang dipengaruhi oleh rangsang cahaya dinamakan ...;Niktinasti dan gravitropi;Fotonasti dan fototropisme;Hidronasti dan hidrotropisme;Kemonasti dan kemotropisme;#;B
8;Pada keadaan lembab, kulit buah kacang kedelai yang sudah tua akan membuka. Gerakan yang terjadi pada tanaman kedelai ini dinamakan ...;Tigmonasti;Seismonasti;Higroskopis;Fototropisme;#;C
8;Tumbuhan kacang panjang akan tumbuh merambat dengan melingkari kayu penyanggahnya. Gerakan pada tumbuhan kacang panjang ini disebut dengan ...;Fotonasti;Niktinasti;Tigmonasti;Tigmotropisme;#;D
8;Pasangan antara nama gerak dan jenis rangsang yang mempengaruhi dalam tabel berikut yang benar adalah ...;Geotropisme Zat kimia;Hidrotropisme Getaran;Termonasti Suhu;niktinasti Sentuhan;#;C
