Kelas;Soal;A;B;C;D;E;Jawaban
6;Kayu yang diletakkan di tempat terbuka akan lapuk. Sinonim kata lapuk adalah ...;Patah;Keropos;Lama;Lunak;#;B
6;Nama badai tropis di Indonesia diambil dari nama bunga. Nama tersebut adalah badai tropis cempaka dan badai tropis dahlia. Penentuan nama badai tersebut sesuai urutan abjad. Itulah aturan penamaan badai tropis di Indonesia. Kalimat utama paragraf tersebut adalah ...;Nama badai tropis di Indonesia diambil dari nama bunga;Misalnya badai tropis cempaka dan badai tropis dahlia;Penentuan nama badai tersebut sesuai urutan abjad;Itulah aturan penamaan badai tropis di Indonesia;#;A
6;Pemerintah daerah membangun pasar. Dalam pasar, terdapat ... yang akan digunakan pedagang untuk berjualan. Pemiliknya dihimbau untuk menjaga kebersihan. Istilah yang tepat untuk melengkapi paragraf tersebut adalah ...;Warung;Kedai;Kios;Tokong;#;C
6;Kecurangan Tono dalam mengikuti lomba sains menjadi ... di kelasnya. Ungkapan yang tepat untuk melengkapi kalimat tersebut adalah ...;Buah tangan;Buah mulut;Buah bibir;Buah hati;#;B
6;Perhatikan kalimat iklan berikut! Mari lebih bijak menggunakan BBM ... Kalimat yang tepat untuk melengkapi iklan tersebut adalah ...;Jangan pernah membeli BBM di SPBU;Belilah bahan bakar minyak yang murahan;Kurangi penggunaan kendaraan pribadi;Perbanyak bepergian menggunakan mobil;#;C
6;Puting beliung telah porak poranda beberapa rumah warga. Perbaikan penggunaan kata porak poranda yang tepat adalah ...;Memporak porandakan;Memporakporandakan;Memorak porandakan;Memorakporandakan;#;D
6;Ibuku seorang pengusaha tempe. Pembuatannya tidak rumit dan tidak memerlukan keterampilan khusus. Teknik memroses kedelai menjadi tempe perlu beberapa tahap. Kesalahan penggunaan ejaan pada paragraf tersebut adalah ...;Memerlukan;Keterampilan;Teknik;Memroses;#;D
6;Hai, hebat sekali benda peninggalan nenekmu? hardik Oca. Kesalah penggunaan tanda baca pada kalimat tersebut adalah ...;"Tanda petik ("" ..."")";Tanda koma (,);Tanda tanya (?);Tanda titik (.);#;C
6;anita akan menyumbang tas peralatan sekolah dan buku ke panti asuhan Ejaan yang tepat sesuai kaidah yang benar adalah ...;Anita akan menyumbang tas, peralatan sekolah, dan buku ke panti asuhan.;Anita akan menyumbang: tas, peralatan sekolah, dan buku ke panti asuhan.;Anita akan menyumbang tas, peralatan sekolah, dan buku ke Panti Asuhan.;Anita akan menyumbang: tas, peralatan sekolah, dan buku ke Panti asuhan.;#;C
6;( ... ) Saya tidak akan mengulanginya lagi ( ... ) Bu ( ... ) ( ... ) jawab Ina ( ... ) Tanda baca yang benar sesuai dengan kaidah adalah ...;"(""), (.), (!), (""), (.)";"(""), (,), (!), (""), (.)";"(""), (,), (,), (""), (.)";"(""), (,), (.), (""), (.)";#;D
6;"Besok pagi, Tina akan pergi ke Tawangmangu? kata Doni. Perbaikan penggunaan tanda baca yang tepat pada kalimat tersebut adalah ...";Besok pagi, Tina akan pergi ke Tawangmangu, kata Doni.;Besok pagi, Tina akan pergi ke Tawangmangu. kata Doni.;Besok pagi, Tina akan pergi ke Tawangmangu, kata Doni.;Besok pagi, Tina akan pergi ke Tawangmangu. kata Doni.;#;C
6;Bagian surat pribadi yang berisi memberi tahu keadaan, menanyakan keadaan adalah ...;Isi;penutup;pembukaan;kekerabatan;#;A
6;Di bawah ini yang merupakan kalimat penutup surat resmi adalah ...;Bila ada kata-kata yang salah kami mohon maaf.;Jangan lupa segera di bawah surat ini.;Atas perhatian dan kehadirannya kami ucapkan terima kasih.;Sekian surat ini, bila ada waktu bisa disambung lagi.;#;C
6;Penulisan judul puisi yang tepat di bawah ini adalah ...;Secangkir Kopi untuk Ayah;SECANGKIR KOPI UNTUK AYAH;Secangkir Kopi Untuk Ayah;Secangkir kopi untuk Ayah;#;A
6;Ayah membeli televisi seharga satu juta tujuh ratus tujuh puluh lima ribu rupiah. Penulisan nilai uang yang tepat adalah ...;Rp1.775.000,00;Rp, 1.775,000,00;Rp: 1.775.000,00;Rp 1.775.00,-;#;A
6;Ubaidillah Rifai Putra dan keluarganya berekreasi bersama ke Parang Tritis Yogyakarta. Subyek dari kalimat diatas adalah ...;Berekreasi bersama;Parangtritis Yogyakarta;Ubaidillah Rifai Putra;Ubaidillah Rifai Putra dan Keluarganya;#;D
6;Orang yang mengatur adegan dalam drama adalah ...;aktor;sutradara;produser;konpesor;#;B
6;Naskah pidato terdiri atas 3 bagian, yaitu ...;pembukaan, pembahasan, dan saran;penutup, isi dan pendahuluan;pembukaan, isi dan penutup;latar belakang, pembahasan dan kesimpulan;#;C
6;Sikap yang baik dalam berpidato adalah ...;Tertawa lepas;kepala menunduk;duduk dan tersenyum ramah;berdiri menghadap penonton;#;D
6;Saudara pemirsa di seluruh Tanah Air! Selamat siang, kali ini saya Arifin akan membacakan berita olah raga. Berdasarkan paragraf di atas, Arifin sedang berbicara melalui ...;Radio;telepon;televisi;telegram;#;C
6;Berikut ini bukan surat resmi adalah surat ...;Dinas;jual beli;lamaran kerja;kepada sahabat;#;D
6;Hal yang tidak perlu diperhatikan dalam berpidato adalah ...;Lafal;ekspresi;intonasi;membaca cepat;#;D
6;Salah satu hal yang perlu diperhatikan dalam membaca puisi adalah lafal. Lafal berkaitan dengan ...;Tekanan;ucapan;mimik wajah;pemberhentian;#;B
6;Di bawah ini contoh pembuka surat, kecuali ...;Salam rindu;Salam hangat;sudah dulu, ya;temanku yang berbahagia;#;C
6;Penulisan alamat surat yang tepat adalah ...;Yth. Kak Redaksi Majalah Dara Jln. Cendrawasih 50 Jakarta Barat;Yth. Kak Redaksi Majalah Dara Jln. Cendrawasih 50 Jakarta Barat;Yth. Kak Redaksi Majalah Darah, Jln. Cendrawasih 50 Jakarta Barat;Yth. Kak Redaksi Majalah Dara, Jln. Cendrawasih 50 Jakarta Barat;#;D
6;Diminum : 3 x sehari 1 sdt. Artinya ...;Sehari minum 1 sendok teh;Tiga hari minum 1 sendok teh;Tiga kali minum 1 sendok teh;Sehari minum 3 kali, sebanyak 1 sendok teh;#;D
6;Untuk mengatasi kekeringan, penduduk desa itu membuat dam. Sinonim kata dam adalah ...;Sungai;parit;waduk;bendungan;#;D
6;... padi akan dipindahkan sesudah berumur empat puluh hari. Kata yang tepat untuk melengkapi kalimat di atas adalah ...;Bibit;biji;benih;bakal;#;C
6;Kata-kata di bawah ini yang berlawanan makna adalah ...;Kamar mandi;bersuka ria;maju mundur;maju ke depan;#;C
6;Dalam pesta pernikahan itu, banyak tamu ... baju batik. Kata yang tepat untuk melengkapi kalimat di atas adalah ...;Memakai;menggunakan;mengenakan;memanfaatkan;#;C
6;Dongeng tentang makhluk halus seperti Nyi Roro Kidul disebut ...;Fabel;mite;sage;legenda;#;B
6;Yang ditulis bagian depan amplop surat, tepatnya di bawah sebelah kiri perangko adalah ...;Alamat yang dituju;Kalimat pembuka;kalimat penutup;alamat pengirim surat;#;A
6;Kancil termasuk binatang yang cerdik. Ketika kakinya disergap buaya, dengan akalnya dia mampu meloloskan diri. Saat ia diperangkap Pak Tani, dia masih bisa menipu anjingnya Pak Tani. Kutipan tersebut termasuk cerita ...;Fabel;mite;dongeng;legenda;#;A
6;Perhatikan puisi di bawah ini! Kutinggalkan kawan dalam belantara Yang gugur dalam kusuma bangsa Demi senjata harapan tanah merdeka Guna menapak masa depan penuh cita Latar tempat dari puisi di atas adalah ...;Laut;hutan;sawah;gunung;#;B
6;Penyajian karangan yang panjang dalam bentuk singkat disebut ...;sinopsis;cerpen;ringkasan;apersepsi;#;C
6;Tempat dan waktu terjadinya cerita disebut ...;latar;alur;tema;amanat;#;A
6;Tanggapan tentang baik buruknya sesuatu disebut ...;pujian;anjuran;kritikan;saran;#;C
6;Laporan yang dibuat setelah mengunjungi suatu tempat disebut ...;karangan;laporan kunjungan;laporan pengambatan;narasi;#;B
6;Wisata yang dilakukan di laut disebut wisata...;budaya;bahari;kuliner;alam;#;B
6;Karangan yang tidak terikat bait dan rima disebut ...;prosa;puisi;drama;narasi;#;A
6;Mengubah puisi ke bentuk prosa disebut ...;paraprosa;parafrasa prosa;parafrasa puisi;mengarang;#;C
6;"Najwa sedang menikmati rangkaian peristiwa dalam cerita ""Keong Mas"" yang dibacanya. Bagian kalimat yang dicetak miring dapat diganti dengan istilah ...";tema;alur;amanat;latar;#;B
6;Dcri seorg koki berpnglmn. Hub. Restrn Bundo. Teks di atas merupakan ...;ringkasan pesan;iklan lowongan kerja;iklan penawaran barang;pengumuman;#;B
6;Semut merah itu berusaha naik keatas daun melawan gelombang yang besar. Berkat ketabahannya, ia dapat mencapai permukaan daun itu dan berpegangan kuat-kuat di sana. Cerita diatas mengungkapkan pesan ...;Mengerjakan sesuatu sebaiknya disertai dengan semangat;Disertai dengan ketabahan, keberhasilan akan sulit dicapai;Ikhlas dan tabah adalah salah satu jalan menuju kesuksesan;Dengan usaha sungguh-sungguh, keberhasilan dapat dicapai;#;D
6;Banjir kembali melanda Jakarta. Seminggu yang lalu hujan baru saja turun. Akan tetapi, sudah menenggelamkan Kota Jakarta. Peristiwa yang sudah pernah terjadi, tidak dijadikan pelajaran baik bagi warga maupun pemerintah. Setiap tahun mereka harus mengungsi. Isi informasi kutipan bacaan tersebut adalah ...;Penduduk Jakarta mengungsi lagi;Pemerintah tidak bisa menangani banjir;Hujan deras selama seminggu;Banjir melanda Jakarta lagi;#;D
6;Perilaku boros dalam mengkonsumsi listrik harus diakhiri agar laju konsumsi listrik dapat diredam. Sebab, melonjaknya harga energi di pasar global telah membengkakkan subsidi listrik yang harus disediakan negara. Pemborosan listrik termasuk perilaku tidak terpuji. Informasi penting dari paragraf tersebut adalah ...;subsidi listrik yang harus disediakan negara membengkak;perilaku boros dalam mengonsumsi listrik harus diakhiri;pemborosan termasuk perilaku tidak terpuji;harga energi dipasar global melonjak;#;B
6;Kritikan yang baik terdapat dalam kalimat ...;Menurut saya, hasil kerjamu ini sudah lumayan bagus! Akan tetapi, akan lebih baik jika kamu mau mengulangnya lagi.;Lukisanmu ini belum pantas diikutkan lomba berskala nasional! Sebaiknya, kamu ikut tahun depan saja.;Ya, untuk kali ini saya menilai pekerjaanmu cukup, tetapi kamu harus ingat pekerjaan seperti ini belum layak;Sepertinya kamu masih banyak kekurangan jika dilihat dari hasil kerjamu yang seperti ini, masih jauh dari harapan.;#;A
6;Linda seringkali kesulitan menuliskan ide-ide yang ada dalam pikirannya ke dalam bentuk karangan. Saran yang tepat untuk permasalahan tersebut adalah ...;Sebaiknya Linda meminta orang lain untuk menuliskan karangannya;Sebaiknya Linda tidak usah menulis karangan tersebut;Sebaiknya Linda ke toko untuk membeli buku pelajaran;Sebaiknya Linda lebih rajin belajar menulis dan minta bimbingan guru;#;D
6;Hal-hal yang harus diperhatikan dalam membuat laporan hasil pengamatan yaitu ...;Waktu, hasil, pelapor, tempat, objek, nilai;Judul, tempat, objek, waktu, hasil, pelapor;Tempat, waktu, hasil, objek, judul, kesimpulan;Objek, waktu, hasil, pelapor, tanda tangan orangtua;#;B
6;Memberikan saran terhadap laporan hasil pengamatan harus disertai ...;Tanda tangan;Alasan yang tepat;Judul laporan;Kartu tanda pengenal;#;B
6;Warga Adat Dukuh terkenal sangat menghormati aturan adat. Aturan adat mengharuskan mereka hidup sederhana dan dengan cara tradisional. Mereka percaya bahwa aturan itu dibuat demi kebaikan mereka. Mereka juga menghormati ketua adat. Tanggapan yang tepat terhadap rubrik di atas adalah ...;Kehidupan warga Adat Dukuh sudah ketinggalan zaman dan terlalu kuno;Kehidupan warga Adat Dukuh tergantung kepada ketua adat dan lingkungan;Kehidupan warganya masih sangat memprihatinkan karena belum ada teknologi;Kehidupan warganya patut kita tiru, meskipun hidup sederhana tetap menjaga aturan;#;D
6;Formulir yang berisi tentang data diri seseorang secara lengkap disebut ...;daftar riwayat hidup;kartu keluarga;catatan pribadi;buku harian;#;A
6;Berikut ini kalimat yang berisi saran adalah ...;Tolong, berikan makanan ini untuk pengemis itu!;Wah, merdu sekali suaramu!;Maaf, sebaiknya kamu belajar lebih giat lagi!;Silahkan mencicipi kue ini!;#;C
6;Dahulu orang belum mengenal tulisan. Pada umumnya orag zaman dahulu masih buta huruf. Mereka menciptakan lambang-lambang untuk berkomunikasi. Topik yang tepat untuk laporan tersebut adalah ...;Zaman dahulu orang tidak bisa membaca.;Orang belum banyak memahami huruf dan lambang.;Lambang digunakan sebagai alat komunikasi orang zaman dulu.;Orang-orang menciptakan lambang-lambang untuk berkomunikasi.;#;D
6;Firda baru saja mengunjungi Candi Borobudur bersama teman sekelasnya. Setelah pulang, Firda dan teman-temannya membuat karya ilmiah yang disebut ...;laporan;tugas;narasi;laporan hasil kunjungan;#;D
6;Berikut ini yang merupakan kalimat pujian yang benar adalah ...;Pandai benar kamu. Sampai dapat nilai nol.;Bagus benar tulisanmu. Sampai tidak terbaca.;Jujur benar kamu. Uang teman kamu ambil.;Pintar benar kamu. Bagaimana caranya?;#;D
6;Paman datang ketika aku baru pulang dari les Matematika. Kalimat di atas merupakan kalimat ...;majemuk setara;majemuk bertingkat;berita;gabungan;#;B
6;Sebaiknya kamu menyimpan uangmu di bank saja, agar lebih aman. Kalimat tersebut merupakan kalimat ...;anjuran;perintah;tanggapan;pujian;#;A
6;Dalam memberikan tanggapan yang berupa kritikan, pernyataan yang kita berikan harus bersifat ...;membangun;benar;subyektif;bebas;#;A
6;Di kala sang surya mulai tenggelam. Aku duduk di tepi sungai sendirian ... Puisi tersebut melukiskan waktu ...;pagi hari;siang hari;senja hari;malam hari;#;C
6;Berikut ini yang termasuk laporan kunjungan adalah ...;Bertamasya ke Wisata Bahari Lamongan;Naiknya Tarif Dasar Listrik;Dampak Negatif dan Positif Arus Globalisasi;Pengamatan Pembibitan Anggrek Bulan;#;A
6;Kelelawar mengetahui arah terbang, makanan, dan keadaan lingkungannya menggunakan ...;bau;bunyi;cahaya;suhu;#;B
6;Berikut ini merupakan pernyataan yang benar mengenai cecak ialah ...;cecak mengetahui arah makanan dengan menggunakan bunyi;cecak memiliki kaki yang pendek dan memiliki selaput pada kakinya;cecak memiliki telapak kaki yang menonjol dan bergaris sehingga dapat melekat;cecak memiliki lidah yang menonjol dan bergaris;#;C
6;Tumbuhan yang memakan serangga untuk memenuhi kebutuhan nitrogen ialah ...;kaktus;kantong semar;jati;pisang;#;B
6;Implantasi terjadi pada nomor ... (gambar tidak ditampilkan);1;2;3;4;#;C
6;Ciri-ciri perempuan ketika masa remaja atau pubertas ialah ...;tumbuhnya rambut di ketiak dan alat kelamin;dada akan lebih membidang;tumbuhnya jakun;tidak mengalami menstruasi;#;A
6;Berikut ini merupakan pernyataan yang benar mengenai hewan yang berkembang biak dengan bertelur ...;pertumbuhan dan perkembangan embrio terjadi di luar tubuh induknya;pertumbuhan dan perkembangan embrio terjadi di dalam tubuh induknya;telur menetas di dalam tubuh induknya;embrio akan berada di dalam tubuh induknya sampai waktunya dilahirkan;#;A
6;Tumbuhan yang berkembang biak dengan umbi batang ialah ...;kentang;bawang merah;bawang putih;wortel;#;A
6;Akibat yang akan terjadi bagi lingkungan dari penebangan dan perburuan liar ialah ...;tempat tinggal hewan hilang;pohon di tempat tinggi dibabat;tercapainya kebutuhan kayu;semakin luasnya lahan untuk pertanian;#;A
6;Bagian dari buaya yang sering dimanfaatkan ialah ...;kulit;ekor;taring;daging;#;A
6;Kayu yang sering digunakan untuk bahan bangunan dan alat rumah tangga ialah ...;mahoni;mangga;jati;cendana;#;C
6;Tumbuhan yang terancam punah karena sering digunakan sebagai rempah-rempah dan aroma terapi ialah ...;cendana;meranti;gaharu;jati;#;A
6;Kawasan yang melindungi tumbuhan di tempat asalnya ialah ...;hutan lindung;kebun botani;kebun binatang;suaka margasatwa;#;B
6;Hewan yang berasal dari Sulawesi dan terancam punah ialah ...;komodo;harimau sumatra;badak;anoa;#;D
6;Perpindahan panas dari suatu benda ke benda lainnya disebut ...;konduksi;konveksi;radiasi;isolasi;#;A
6;Berikut ini pernyataan yang benar mengenai perkaratan ialah ...;penghancuran bahan yang disebabkan oleh organisme;pembentukan lapisan merah kekuningan akibat proses kimia;contoh perkaratan adalah hancurnya kayu di hutan;contoh perkaratan adalah membusuknya sayuran;#;B
6;Ban sepeda sebaiknya terbuat dari ...;kayu;plastik;karet;logam;#;C
6;Berikut ini pernyataan yang benar mengenai sifat logam ialah ...;mudah pecah;elastis;penghantar listrik;mudah lapuk;#;C
6;Ciri khusus yang dimiliki tumbuhan kaktus adalah ...;daun lebar dan tipis;akar pendek dan lebat;daunnya berbentuk duri;batang tebal dan berlapis lilin;#;D
6;Daun pandan banyak dimanfaatkan untuk ...;pewarna alami;tanaman hias;pengawet makanan;penyedap masakan;#;D
6;Mengembangbiakkan buaya di penangkaran bertujuan untuk ...;agar dapat dipelihara;supaya tidak punah;mengembangbiakkan secara besar-besaran;untuk diambil kulitnya;#;B
6;Rantai makanan yang mungkin terjadi dalam ekosistem danau adalah ...;zooplankton > ikan gabus > ular > elang;lumut > fitoplankton > ikan bawal > burung pelikan;fitoplankton > zooplankton > udang kecil > ikan gabus;zooplankton > fitoplankton > udang kecil > ikan lele;#;C
6;Hubungan antara anggrek dengan tumbuhan inangnya adalah ...;simbiosis parasitisme;simbiosis mutualisme;simbiosis amensalisme;simbiosis komensalisme;#;D
6;Pada rantai makanan padi > belalang > katak > ular > elang, katak berperan sebagai ...;produsen;konsumen I;konsumen II;konsumen III;#;C
6;Jamur bagi makhluk hidup di sekitarnya berperan sebagai ...;pengurai sisa kehidupan;penghasil karbohidrat;pencegah erosi;konsumen terakhir;#;A
6;Salah satu cara mencegah longsor di tanah curam adalah ...;melakukan rotasi tanaman;melakukan rehabilitasi lahan;membuat tanah bertingkat-tingkat;menanam kembali tanaman atau reboisasi;#;D
6;Tujuan padi menggulungkan daunnya pada musim kemarau adalah ...;mempermudah proses penyerbukan;memperindah bentuk pohon;menghentikan fotosintesis;mengurangi penguapan;#;D
6;Unta dapat berjalan tanpa terperosok ke dalam pasir ketika berjalan. Adaptasi yang dilakukan unta adalah ...;mempunyai punuk;kaki memiliki bantalan;memiliki bulu mata yang panjang;bentuk kaki yang lebar dan panjang;#;B
6;Sampai dengan tahun 1999, wilayah Negara Kesatuan Republik Indonesia terdiri atas...;26 provinsi;27 provinsi;32 provinsi;33 provinsi;#;B
6;Provinsi termuda di Pulau Jawa adalah...;DKI Jakarta;DI Yogyakarta;Banten;Bandung;#;C
6;Provinsi termuda di Pulau Sulawesi adalah...;Manado;Gorontalo;Sulawesi Utara;Sulawesi Tenggara;#;B
6;Ibukota Provinsi Maluku Utara adalah...;Sofifi;Sofingi;Tidore;Ternate;#;D
6;Batas wilayah laut Indonesia berdasarkan Deklarasi Juanda 1957 sepanjang...;3 mil;9 mil;12 mil;21 mil;#;C
6;Batas wilayah laut Indonesia berdasarkan ZEE sepanjang...;3 mil;9 mil;12 mil;200 mil;#;D
6;Salah satu penandatangan Deklarasi Bangkok 1967 dari Filipina adalah...;Narcisco Ramos;Tun Abdul Razak;S. Rajaratman;Thanat Khoman;#;A
6;Berikut negara pendiri ASEAN kecuali...;Indonesia;Birma;Singapura;Malaysia;#;B
6;Negara di Asia Tenggara yang tidak pernah dijajah adalah...;Birma;Pilipina;Thailand;Singapura;#;C
6;Negara yang masuk menjadi anggota ASEAN TEN adalah...;Laos;Myanmar;Kamboja;Vietnam;#;B
6;Warna coklat pada lambang ASEAN melambangkan...;persahabatan antara negara anggota;kemakmuran;kekuatan negara;kekuatan dan kestabilan;#;D
6;Pabrik mesin diesel ASEAN didirikan di...;Singapura;Pilipina;Indonesia;Thailand;#;A
6;Negara tetangga penghasil timah terbesar dunia adalah...;Filipina;Thailand;Malaysia;Singapura;#;C
6;Bentuk negara Singapura adalah...;negara kerajaan;negara republik;negara serikat;negara kapitalis;#;B
6;Angkor Wat dan Angkor Thom terdapat di negara...;Birma;Kamboja;Laos;Filipina;#;B
6;"Negara yang mendapat julukan ""Petro Dollar"" adalah...";Kuwait;Arab Saudi;Venezuela;Irak;#;C
6;"Negara ""Kincir Angin"" merupakan julukan negara...";Jerman;Kanada;Perancis;Belanda;#;D
6;Menara Eiffel terdapat di negara...;Perancis;Amerika Serikat;Jerman;Inggris;#;A
6;Istana kediaman raja/ratu Inggris disebut...;Istana Buckingham;God Save The Queen;Istana Versailles;Istana Musim Panas;#;A
6;Vietnam, Kamboja dan Laos terletak di kawasan...;Indocina;Negeri Serumpun;Asia Timur;Negeri Jiran;#;A
6;Sir Stamfor Rafles mendirikan kota yang sekarang bernama...;Kuala Lumpur;Selangor;Tanah Genting;Singapura;#;D
6;Negeri Gajah Putih merupakan julukan negara...;Kamboja;Thailand;Malaysia;Myanmar;#;B
6;Sungai Mekong mengalir di kawasan...;Vietnam;Indocina;Thailand;Filipina;#;B
6;Pegunungan yang memisahkan Eropa dengan Asia adalah...;Pegunungan Ural;Pegunungan Kaukasus;Pegunungan Alpen;Pegunungan Pirenia;#;A
6;Sungai terpanjang di Afrika adalah...;Sungai Kongo;Sungai Zambesi;Sungai Nil;Sungai Victoria;#;C
6;Great barrier Reef terletak di...;pantai selatan Australia;pantai utara Australia;lepas pantai timur Australia;lepas pantai barat Australia;#;C
6;Binatang lambang Australia adalah...;kangguru;biri-biri;kiwi;penguin;#;A
6;Berikut syarat-syarat peta yang baik, kecuali...;judul peta;skala;ukuran besar;legenda;#;C
6;Negara di pantai barat Amerika Selatan adalah...;Cile;Peru;Kolombia;Ekuador;#;A
6;Gunung Kinabalu terletak di negara...;Indonesia;Malaysia;Filipina;Brunei Darusalam;#;B
6;Indonesia terletak diantara dua landas kontinen yaitu Benua...;Eropa dan Austeralia;Asia dan Afrika;Asia dan Eropa;Asia dan Australia;#;D
6;Bagian sebelah utara Provinsi Jawa Tengah adalah...;Laut Jawa;Samudra Hindia;Pulau Kalimantan;Pulau Karimun Jawa;#;A
6;Provinsi Gorontalo merupakan pemekaran Provinsi...;Sulawesi Tenggara;Sulawesi Timur;Sulawesi Utara;Sulawesi Barat;#;C
6;Konferensi Hukum Laut Internasional III berlangsung di negara...;Kuba;Thailand;Jamaika;Afrika Selatan;#;C
6;Pada zaman Belanda wilayah perairan Indonesia ditetapkan sebesar... mil;1;3;12;200;#;B
6;Negara yang dilalui oleh Pegunungan Muda Sirkum Pasifik adalah...;Myanmar;Thailand;Brunei Darussalam;Filipina;#;D
6;Negara yang dahulu bernama Burma adalah...;Filipina;Kamboja;Laos;Myanmar;#;D
6;Negara tetangga yang merupakan bekas provinsi Indonesia adalah...;Singapura;Malaysia;Timor Leste;Papua Nugini;#;C
6;Ibu kota Brunei Darussalam adalah...;Bangkok;Manila;Bandar Seri Begawan;Kuala Lumpur;#;C
6;Bahasa Tagalog digunakan di negara...;Thailand;Filipina;Vietnam;Myanmar;#;B
6;Batas sebelah utara negara Laos adalah...;Vietnam;Kamboja;Tiongkok;Myanmar;#;C
6;Batas timur Kepulauan Indonesia adalah Negara...;Filipina;Papua Nugini;Malaysia;Thailand;#;B
